group_id,item,rank
11,D2,1.0
11,D4,2.0
12,D4,1.0
12,D10,2.0
13,D5,2.0
13,D6,1.0
14,D6,1.0
14,D8,2.0
15,D6,1.0
15,D9,2.0
16,D6,1.0
16,D10,2.0
17,D7,1.0
17,D8,2.0
18,D2,2.0
18,D9,1.0
20,D5,2.0
20,D9,1.0
22,D4,2.0
22,D10,1.0
23,D4,2.0
23,D10,1.0
24,D9,2.0
24,D10,1.0
25,D3,2.0
25,D9,1.0
26,D8,2.0
26,D9,1.0
27,D1,1.0
27,D8,2.0
28,D1,1.0
28,D9,2.0
29,D3,1.0
29,D10,2.0
31,D2,2.0
31,D5,1.0
32,D3,2.0
32,D5,1.0
33,D5,1.0
33,D6,2.0
34,D5,1.0
34,D7,2.0
35,D3,2.0
35,D6,1.0
36,D4,2.0
36,D6,1.0
37,D6,1.0
37,D10,2.0
38,D6,1.0
38,D10,2.0
39,D1,2.0
39,D6,1.0
40,D2,2.0
40,D9,1.0
41,D3,2.0
41,D9,1.0
42,D4,2.0
42,D9,1.0
43,D5,2.0
43,D9,1.0
44,D5,2.0
44,D9,1.0
45,D5,2.0
45,D9,1.0
46,D6,2.0
46,D9,1.0
47,D6,2.0
47,D9,1.0
48,D7,2.0
48,D9,1.0
49,D7,2.0
49,D9,1.0
50,D7,2.0
50,D9,1.0
51,D8,2.0
51,D9,1.0
52,D9,1.0
52,D10,2.0
53,D2,2.0
53,D10,1.0
54,D3,2.0
54,D10,1.0
55,D3,2.0
55,D10,1.0
56,D3,2.0
56,D10,1.0
57,D1,2.0
57,D10,1.0
58,D1,1.0
58,D3,2.0
59,D1,1.0
59,D4,2.0
60,D1,1.0
60,D5,2.0
61,D10,1.0
61,D8,2.0
62,D3,2.0
62,D8,1.0
63,D5,1.0
63,D10,2.0
65,D5,1.0
65,D10,2.0
66,D3,1.0
66,D10,2.0
67,D3,2.0
67,D10,1.0
68,D5,1.0
68,D8,2.0
68,D4,2.0
69,D5,2.0
69,D10,1.0
70,D7,2.0
70,D3,1.0
71,D5,1.0
71,D10,2.0
73,D5,2.0
73,D10,1.0
74,D10,1.0
74,D8,2.0
74,D3,2.0
75,D3,2.0
75,D6,1.0
76,D10,1.0
76,D6,2.0
78,D4,1.0
78,D10,2.0
79,D3,2.0
79,D6,1.0
80,D5,1.0
80,D6,2.0
81,D2,1.0
81,D3,2.0
82,D10,2.0
82,D6,1.0
83,D5,1.0
83,D4,2.0
84,D5,1.0
84,D4,2.0
85,D3,1.0
85,D1,2.0
86,D1,2.0
86,D10,1.0
87,D1,1.0
87,D10,2.0
1,D3,2.0
1,D5,1.0
2,D3,1.0
2,D5,2.0
3,D5,1.0
3,D10,2.0
5,D1,2.0
5,D5,1.0
6,D1,2.0
6,D3,1.0
8,D3,2.0
8,D5,1.0
9,D4,2.0
9,D10,1.0
10,D3,2.0
10,D10,1.0
